time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-05T01:43:57.947Z,63.0248,-149.6102,76.1,1.4,ml,,,,0.64,ak,ak019e71x0l4,2019-11-05T01:51:15.982Z,"52km SW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-11-05T01:38:38.635Z,61.6358,-149.7582,20.9,2.4,ml,,,,0.93,ak,ak019e71vweh,2019-11-05T01:48:34.685Z,"3km E of Houston, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-11-05T01:38:20.910Z,33.1051667,-116.4281667,10.82,0.73,ml,22,111,0.1442,0.24,ci,ci38932647,2019-11-05T01:42:04.653Z,"16km E of Julian, CA",earthquake,0.49,0.86,0.194,13,automatic,ci,ci
2019-11-05T01:26:26.140Z,33.9421667,-116.3148333,4.8,0.75,ml,12,103,0.0781,0.13,ci,ci38932639,2019-11-05T01:30:00.136Z,"15km NNE of Thousand Palms, CA",earthquake,0.37,0.64,0.291,17,automatic,ci,ci
2019-11-05T01:23:31.430Z,39.2029991,-123.0623322,3.65,1.21,md,8,157,0.1461,0.03,nc,nc73300800,2019-11-05T01:42:02.123Z,"12km NE of Talmage, CA",earthquake,0.51,6.38,,2,automatic,nc,nc
2019-11-05T01:13:51.021Z,62.7552,-150.8276,78.5,1.4,ml,,,,0.57,ak,ak019e71qkfz,2019-11-05T01:22:07.516Z,"60km NW of Talkeetna, Alaska",earthquake,,2,,,automatic,ak,ak
2019-11-05T01:09:57.940Z,32.7245,-115.4755,7.22,1.39,ml,16,164,0.08415,0.22,ci,ci38932607,2019-11-05T01:13:39.941Z,"5km E of Heber, CA",earthquake,0.61,1.24,0.246,19,automatic,ci,ci
2019-11-05T01:07:55.498Z,59.3674,-152.8151,59.9,3.3,ml,,,,0.68,ak,ak019e71paeb,2019-11-05T01:22:07.008Z,"71km SW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-11-05T00:58:21.871Z,61.4973,-141.4341,3.6,2.5,ml,,,,0.76,ak,ak019e71epr6,2019-11-05T01:38:39.040Z,"159km E of Chitina, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-11-05T00:38:18.276Z,60.9513,-151.7633,130.2,1,ml,,,,1.1,ak,ak019e71af7n,2019-11-05T00:55:56.658Z,"38km NW of Nikiski, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-11-05T00:32:50.900Z,19.4213333,-155.2768402,-0.47,1.71,ml,19,54,0.00348,0.12,hv,hv71216451,2019-11-05T00:38:32.610Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.21,2.84,6,automatic,hv,hv
2019-11-05T00:29:20.480Z,17.9296,-67.9315,26,2.84,md,5,316,0.6415,0.21,pr,pr2019309000,2019-11-05T03:53:08.634Z,"79km W of Pole Ojea, Puerto Rico",earthquake,2.86,18.96,0.12,2,reviewed,pr,pr
2019-11-05T00:20:15.210Z,33.11,-116.43,9.73,1.04,ml,37,61,0.1388,0.27,ci,ci38932551,2019-11-05T00:30:43.290Z,"16km ENE of Julian, CA",earthquake,0.4,1.12,0.139,25,automatic,ci,ci
2019-11-05T00:09:46.260Z,35.63,-117.583,10.87,1.03,ml,16,89,0.01383,0.2,ci,ci38932535,2019-11-05T00:13:29.066Z,"8km E of Ridgecrest, CA",earthquake,0.42,0.85,0.173,13,automatic,ci,ci
2019-11-05T00:05:30.185Z,-18.525,-175.2611,10,4.9,mb,,32,5.082,0.78,us,us70006379,2019-11-05T00:56:26.040Z,"135km W of Neiafu, Tonga",earthquake,8,1.7,0.029,367,reviewed,us,us
2019-11-05T00:01:24.836Z,61.5009,-141.2686,0.1,1.8,ml,,,,0.5,ak,ak019e712i7x,2019-11-05T00:10:08.693Z,"168km E of Chitina, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-11-04T23:59:35.767Z,61.5067,-141.3,1.6,1.8,ml,,,,0.58,ak,ak019e5rkl19,2019-11-05T00:10:08.232Z,"166km E of Chitina, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-11-04T23:24:09.773Z,66.338,-157.2889,13.8,2.6,ml,,,,0.71,ak,ak019e5rd447,2019-11-04T23:44:22.040Z,"65km SSW of Kobuk, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-11-04T23:21:49.770Z,36.0633333,-117.8505,2.29,1.51,ml,13,135,0.05425,0.11,ci,ci38932527,2019-11-04T23:25:29.275Z,"9km ENE of Coso Junction, CA",earthquake,0.2,0.22,0.229,22,automatic,ci,ci
2019-11-04T23:17:33.650Z,60.5219,-142.901,5.9,2.3,ml,,,,0.64,ak,ak019e5rbkr6,2019-11-04T23:25:15.376Z,"57km NNW of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
